employee_id,work_mode,hours_worked_per_week,productivity_score,well_being_score,department,team,join_year,overtime_flag,tenure_years,tenure_group,workload_level,high_productivity,well_being_risk
38,Remote,42.0,74.0,76.0,Finance,C,2021,False,5,3–5 yrs,Normal,False,False
39,Hybrid,49.0,75.0,91.0,HR,A,2015,True,11,10+ yrs,Heavy,True,False
40,Hybrid,44.0,76.0,70.0,HR,A,2020,True,6,6–10 yrs,Normal,True,False
41,Remote,39.0,75.0,83.0,IT,D,2022,False,4,3–5 yrs,Normal,True,False
42,Hybrid,48.0,68.0,61.0,IT,Nan,2021,False,5,3–5 yrs,Heavy,False,False
43,Remote,27.0,80.0,70.0,Finance,A,2018,False,8,6–10 yrs,Light,True,False
44,In-Office,30.0,75.0,90.0,Sales,D,2015,False,11,10+ yrs,Light,True,False
45,Remote,41.0,83.0,79.0,Finance,D,2015,False,11,10+ yrs,Normal,True,False
46,Hybrid,41.0,81.0,70.0,Operations,D,2018,True,8,6–10 yrs,Normal,True,False
47,Remote,40.0,79.0,73.0,HR,B,2019,True,7,6–10 yrs,Normal,True,False
48,Hybrid,48.0,73.0,66.0,HR,Nan,2021,False,5,3–5 yrs,Heavy,False,False
49,Hybrid,45.0,74.0,72.0,IT,A,2018,True,8,6–10 yrs,Normal,False,False
50,Remote,41.0,85.0,81.0,Sales,D,2015,False,11,10+ yrs,Normal,True,False
51,In-Office,45.0,79.0,81.0,IT,B,2021,True,5,3–5 yrs,Normal,True,False
52,In-Office,41.0,72.0,56.0,Operations,D,2019,True,7,6–10 yrs,Normal,False,False
53,In-Office,38.0,69.0,63.0,Finance,B,2016,False,10,6–10 yrs,Normal,False,False
54,In-Office,44.0,74.0,73.0,Finance,A,2022,False,4,3–5 yrs,Normal,False,False
55,Hybrid,42.0,78.0,73.0,Sales,D,2019,False,7,6–10 yrs,Normal,True,False
56,In-Office,31.0,64.0,67.0,IT,A,2016,True,10,6–10 yrs,Light,False,False
57,Remote,31.0,81.0,89.0,IT,B,2019,False,7,6–10 yrs,Light,True,False
58,Remote,45.0,74.0,88.0,Operations,C,2022,False,4,3–5 yrs,Normal,False,False
59,Remote,39.0,73.0,74.0,Finance,Nan,2020,False,6,6–10 yrs,Normal,False,False
60,Remote,41.0,73.0,79.0,IT,C,2017,False,9,6–10 yrs,Normal,False,False
61,Remote,39.0,76.0,81.0,Sales,A,2022,False,4,3–5 yrs,Normal,True,False
62,Remote,45.0,84.0,68.0,Finance,A,2023,False,3,3–5 yrs,Normal,True,False
63,In-Office,27.0,80.0,56.0,Operations,D,2019,True,7,6–10 yrs,Light,True,False
64,Remote,37.0,67.0,65.0,Sales,C,2016,True,10,6–10 yrs,Normal,False,False
65,Remote,41.0,82.0,74.0,HR,B,2016,True,10,6–10 yrs,Normal,True,False
66,Hybrid,41.0,70.0,75.0,Operations,Nan,2021,True,5,3–5 yrs,Normal,False,False
67,Remote,29.0,77.0,78.0,Sales,C,2015,False,11,10+ yrs,Light,True,False
68,In-Office,41.0,73.0,59.0,IT,B,2016,False,10,6–10 yrs,Normal,False,False
69,Remote,45.0,75.0,78.0,HR,C,2018,True,8,6–10 yrs,Normal,True,False
70,In-Office,38.0,68.0,60.0,Operations,B,2015,True,11,10+ yrs,Normal,False,False
71,In-Office,41.0,87.0,56.0,IT,B,2019,True,7,6–10 yrs,Normal,True,False
72,Remote,28.0,88.0,77.0,HR,B,2019,False,7,6–10 yrs,Light,True,False
73,Remote,34.0,84.0,74.0,Finance,Nan,2023,False,3,3–5 yrs,Light,True,False
74,In-Office,58.0,78.0,64.0,IT,C,2015,False,11,10+ yrs,Heavy,True,False
75,In-Office,60.0,67.0,75.0,Sales,C,2019,True,7,6–10 yrs,Heavy,False,False
76,In-Office,47.0,74.0,82.0,Operations,D,2016,True,10,6–10 yrs,Heavy,False,False
77,In-Office,41.0,65.0,72.0,HR,C,2023,True,3,3–5 yrs,Normal,False,False
78,Remote,34.0,92.0,79.0,IT,C,2020,True,6,6–10 yrs,Light,True,False
79,Remote,36.0,77.0,69.0,Finance,D,2016,True,10,6–10 yrs,Normal,True,False
80,Remote,32.0,86.0,73.0,Operations,C,2017,False,9,6–10 yrs,Light,True,False
81,In-Office,38.0,74.0,79.0,Operations,B,2022,False,4,3–5 yrs,Normal,False,False
82,Hybrid,46.0,82.0,66.0,IT,A,2015,False,11,10+ yrs,Heavy,True,False
83,Remote,29.0,88.0,76.0,Finance,A,2017,False,9,6–10 yrs,Light,True,False
84,Remote,36.0,87.0,82.0,HR,D,2015,False,11,10+ yrs,Normal,True,False
85,Remote,41.0,93.0,73.0,IT,C,2022,True,4,3–5 yrs,Normal,True,False
86,Remote,44.0,76.0,80.0,HR,C,2015,False,11,10+ yrs,Normal,True,False
87,In-Office,56.0,77.0,73.0,Operations,D,2019,True,7,6–10 yrs,Heavy,True,False
88,Hybrid,48.0,71.0,65.0,HR,Nan,2018,False,8,6–10 yrs,Heavy,False,False
89,In-Office,38.0,54.0,87.0,Finance,Nan,2021,True,5,3–5 yrs,Normal,False,False
90,Hybrid,35.0,72.0,70.0,Sales,C,2019,True,7,6–10 yrs,Light,False,False
91,Remote,40.0,83.0,84.0,Finance,D,2022,True,4,3–5 yrs,Normal,True,False
92,In-Office,41.0,74.0,71.0,HR,B,2015,True,11,10+ yrs,Normal,False,False
93,In-Office,43.0,86.0,72.0,IT,D,2019,True,7,6–10 yrs,Normal,True,False
94,Hybrid,46.0,79.0,74.0,Operations,D,2018,True,8,6–10 yrs,Heavy,True,False
95,In-Office,46.0,60.0,72.0,Sales,D,2017,False,9,6–10 yrs,Heavy,False,False
96,Hybrid,38.0,70.0,77.0,IT,A,2019,True,7,6–10 yrs,Normal,False,False
97,Hybrid,49.0,74.0,74.0,IT,A,2017,True,9,6–10 yrs,Heavy,False,False
98,Hybrid,52.0,76.0,93.0,Finance,D,2022,False,4,3–5 yrs,Heavy,True,False
99,Remote,41.0,62.0,83.0,HR,C,2017,True,9,6–10 yrs,Normal,False,False
100,Remote,40.0,86.0,83.0,Finance,B,2015,False,11,10+ yrs,Normal,True,False
101,Remote,37.0,66.0,77.0,HR,C,2023,False,3,3–5 yrs,Normal,False,False
102,Hybrid,37.0,74.0,77.0,Finance,A,2023,True,3,3–5 yrs,Normal,False,False
103,Remote,48.0,74.0,74.0,IT,Nan,2020,True,6,6–10 yrs,Heavy,False,False
104,Hybrid,45.0,84.0,67.0,Operations,D,2015,False,11,10+ yrs,Normal,True,False
105,In-Office,44.0,72.0,61.0,HR,C,2022,True,4,3–5 yrs,Normal,False,False
106,Remote,42.0,75.0,81.0,Sales,C,2016,False,10,6–10 yrs,Normal,True,False
107,Hybrid,37.0,71.0,78.0,Sales,D,2023,True,3,3–5 yrs,Normal,False,False
108,In-Office,42.0,88.0,64.0,IT,C,2022,False,4,3–5 yrs,Normal,True,False
109,Remote,39.0,83.0,68.0,Finance,A,2019,True,7,6–10 yrs,Normal,True,False
110,Remote,27.0,64.0,87.0,Finance,D,2019,True,7,6–10 yrs,Light,False,False
111,Remote,35.0,96.0,74.0,IT,Nan,2023,False,3,3–5 yrs,Light,True,False
112,Remote,39.0,74.0,92.0,Sales,D,2015,False,11,10+ yrs,Normal,False,False
113,In-Office,59.0,83.0,74.0,Sales,B,2023,False,3,3–5 yrs,Heavy,True,False
114,In-Office,49.0,79.0,63.0,Finance,Nan,2018,False,8,6–10 yrs,Heavy,True,False
115,Hybrid,37.0,74.0,71.0,HR,C,2018,True,8,6–10 yrs,Normal,False,False
116,In-Office,41.0,78.0,77.0,Operations,A,2018,False,8,6–10 yrs,Normal,True,False
117,In-Office,46.0,85.0,58.0,HR,D,2023,False,3,3–5 yrs,Heavy,True,False
118,Remote,37.0,70.0,65.0,Sales,D,2019,True,7,6–10 yrs,Normal,False,False
119,In-Office,44.0,71.0,82.0,HR,C,2022,True,4,3–5 yrs,Normal,False,False
120,Hybrid,46.0,66.0,74.0,Operations,A,2018,False,8,6–10 yrs,Heavy,False,False
121,In-Office,54.0,77.0,66.0,HR,A,2017,True,9,6–10 yrs,Heavy,True,False
122,In-Office,38.0,69.0,78.0,HR,B,2015,False,11,10+ yrs,Normal,False,False
123,Remote,49.0,88.0,74.0,HR,B,2021,True,5,3–5 yrs,Heavy,True,False
124,Remote,41.0,77.0,66.0,HR,C,2018,False,8,6–10 yrs,Normal,True,False
125,Remote,41.0,75.0,75.0,IT,A,2022,True,4,3–5 yrs,Normal,True,False
126,Hybrid,32.0,78.0,68.0,Sales,A,2017,False,9,6–10 yrs,Light,True,False
127,In-Office,37.0,46.0,68.0,Operations,Nan,2015,False,11,10+ yrs,Normal,False,False
128,In-Office,57.0,87.0,64.0,Sales,B,2019,True,7,6–10 yrs,Heavy,True,False
129,Remote,34.0,80.0,71.0,IT,C,2016,True,10,6–10 yrs,Light,True,False
130,Hybrid,44.0,80.0,82.0,IT,A,2017,False,9,6–10 yrs,Normal,True,False
131,Hybrid,41.0,72.0,65.0,IT,D,2020,False,6,6–10 yrs,Normal,False,False
132,Remote,33.0,74.0,81.0,IT,B,2017,True,9,6–10 yrs,Light,False,False
133,Remote,43.0,70.0,88.0,HR,Nan,2017,True,9,6–10 yrs,Normal,False,False
134,Remote,36.0,76.0,73.0,Sales,Nan,2019,True,7,6–10 yrs,Normal,True,False
135,In-Office,28.0,80.0,75.0,Finance,A,2019,True,7,6–10 yrs,Light,True,False
136,Remote,36.0,77.0,82.0,Operations,B,2023,True,3,3–5 yrs,Normal,True,False
137,Hybrid,33.0,70.0,78.0,IT,C,2015,True,11,10+ yrs,Light,False,False
138,In-Office,36.0,75.0,56.0,Sales,D,2017,True,9,6–10 yrs,Normal,True,False
139,Remote,41.0,76.0,67.0,IT,B,2017,True,9,6–10 yrs,Normal,True,False
140,In-Office,53.0,65.0,74.0,IT,Nan,2019,True,7,6–10 yrs,Heavy,False,False
141,In-Office,46.0,74.0,59.0,IT,A,2022,False,4,3–5 yrs,Heavy,False,False
142,Remote,38.0,79.0,83.0,IT,D,2017,True,9,6–10 yrs,Normal,True,False
143,Hybrid,43.0,71.0,65.0,IT,C,2017,True,9,6–10 yrs,Normal,False,False
144,Remote,39.0,67.0,58.0,Operations,D,2020,False,6,6–10 yrs,Normal,False,False
145,Remote,41.0,83.0,61.0,Sales,Nan,2022,False,4,3–5 yrs,Normal,True,False
146,Remote,32.0,81.0,92.0,IT,C,2020,False,6,6–10 yrs,Light,True,False
147,Hybrid,42.0,68.0,71.0,IT,C,2017,False,9,6–10 yrs,Normal,False,False
148,Hybrid,50.0,69.0,66.0,IT,C,2018,False,8,6–10 yrs,Heavy,False,False
149,Remote,35.0,68.0,79.0,IT,D,2015,False,11,10+ yrs,Light,False,False
150,Remote,48.0,79.0,76.0,HR,B,2019,True,7,6–10 yrs,Heavy,True,False
151,In-Office,43.0,58.0,76.0,HR,D,2018,False,8,6–10 yrs,Normal,False,False
152,Remote,38.0,75.0,100.0,Finance,C,2020,False,6,6–10 yrs,Normal,True,False
153,Remote,40.0,70.0,75.0,IT,D,2017,False,9,6–10 yrs,Normal,False,False
154,Hybrid,49.0,75.0,60.0,Finance,D,2020,True,6,6–10 yrs,Heavy,True,False
155,In-Office,51.0,66.0,85.0,Operations,D,2023,False,3,3–5 yrs,Heavy,False,False
156,Remote,44.0,72.0,87.0,Finance,C,2023,True,3,3–5 yrs,Normal,False,False
157,Hybrid,42.0,81.0,76.0,Sales,D,2017,False,9,6–10 yrs,Normal,True,False
158,In-Office,39.0,66.0,77.0,HR,A,2017,False,9,6–10 yrs,Normal,False,False
159,Remote,36.0,73.0,71.0,HR,Nan,2018,True,8,6–10 yrs,Normal,False,False
160,In-Office,48.0,91.0,58.0,IT,D,2021,True,5,3–5 yrs,Heavy,True,False
161,Remote,38.0,87.0,77.0,IT,A,2017,False,9,6–10 yrs,Normal,True,False
162,Hybrid,45.0,66.0,75.0,Operations,D,2022,True,4,3–5 yrs,Normal,False,False
163,Hybrid,41.0,82.0,81.0,Operations,Nan,2022,True,4,3–5 yrs,Normal,True,False
164,Hybrid,58.0,79.0,75.0,Sales,D,2020,False,6,6–10 yrs,Heavy,True,False
165,Remote,39.0,73.0,80.0,IT,D,2018,False,8,6–10 yrs,Normal,False,False
166,In-Office,43.0,74.0,80.0,IT,B,2019,False,7,6–10 yrs,Normal,False,False
167,Remote,32.0,85.0,87.0,Operations,C,2019,True,7,6–10 yrs,Light,True,False
168,Remote,37.0,74.0,74.0,Operations,B,2020,False,6,6–10 yrs,Normal,False,False
169,Remote,41.0,76.0,71.0,Operations,C,2017,False,9,6–10 yrs,Normal,True,False
170,Hybrid,39.0,74.0,76.0,HR,Nan,2020,True,6,6–10 yrs,Normal,False,False
171,Hybrid,41.0,71.0,69.0,Finance,D,2019,True,7,6–10 yrs,Normal,False,False
172,Remote,32.0,89.0,76.0,Finance,D,2016,False,10,6–10 yrs,Light,True,False
173,Hybrid,49.0,86.0,80.0,IT,C,2019,True,7,6–10 yrs,Heavy,True,False
174,Remote,35.0,79.0,78.0,HR,C,2019,False,7,6–10 yrs,Light,True,False
175,Hybrid,37.0,77.0,63.0,Operations,A,2023,True,3,3–5 yrs,Normal,True,False
176,Remote,45.0,72.0,79.0,IT,A,2022,False,4,3–5 yrs,Normal,False,False
177,Hybrid,44.0,72.0,77.0,HR,D,2021,True,5,3–5 yrs,Normal,False,False
178,Remote,35.0,83.0,69.0,Sales,D,2017,True,9,6–10 yrs,Light,True,False
179,In-Office,46.0,89.0,59.0,HR,A,2018,True,8,6–10 yrs,Heavy,True,False
180,Remote,34.0,80.0,79.0,IT,A,2020,True,6,6–10 yrs,Light,True,False
181,Remote,40.0,80.0,82.0,Finance,C,2017,False,9,6–10 yrs,Normal,True,False
182,Remote,45.0,74.0,76.0,Operations,B,2023,True,3,3–5 yrs,Normal,False,False
183,In-Office,50.0,89.0,67.0,Sales,C,2022,False,4,3–5 yrs,Heavy,True,False
184,In-Office,38.0,82.0,67.0,HR,A,2020,True,6,6–10 yrs,Normal,True,False
185,Remote,41.0,83.0,74.0,IT,D,2018,True,8,6–10 yrs,Normal,True,False
186,Hybrid,41.0,77.0,74.0,IT,A,2021,False,5,3–5 yrs,Normal,True,False
187,In-Office,50.0,68.0,73.0,Operations,Nan,2017,True,9,6–10 yrs,Heavy,False,False
188,Hybrid,40.0,80.0,77.0,IT,D,2022,True,4,3–5 yrs,Normal,True,False
189,Hybrid,36.0,83.0,68.0,IT,Nan,2015,False,11,10+ yrs,Normal,True,False
190,Remote,43.0,79.0,91.0,Operations,D,2019,True,7,6–10 yrs,Normal,True,False
191,Remote,37.0,73.0,78.0,Sales,B,2019,False,7,6–10 yrs,Normal,False,False
192,In-Office,43.0,79.0,53.0,Finance,A,2019,True,7,6–10 yrs,Normal,True,False
193,In-Office,38.0,62.0,77.0,Finance,C,2016,True,10,6–10 yrs,Normal,False,False
194,Hybrid,52.0,73.0,71.0,HR,D,2022,True,4,3–5 yrs,Heavy,False,False
195,Remote,38.0,74.0,72.0,Sales,D,2019,False,7,6–10 yrs,Normal,False,False
196,Remote,39.0,84.0,82.0,HR,C,2021,True,5,3–5 yrs,Normal,True,False
197,In-Office,46.0,81.0,44.0,Finance,C,2021,True,5,3–5 yrs,Heavy,True,True
198,In-Office,50.0,66.0,52.0,Operations,D,2019,True,7,6–10 yrs,Heavy,False,False
199,In-Office,49.0,84.0,67.0,IT,C,2022,True,4,3–5 yrs,Heavy,True,False
200,In-Office,52.0,87.0,80.0,Finance,C,2019,True,7,6–10 yrs,Heavy,True,False
201,Hybrid,52.0,80.0,73.0,Sales,B,2018,True,8,6–10 yrs,Heavy,True,False
202,Remote,28.0,74.0,72.0,Finance,C,2018,True,8,6–10 yrs,Light,False,False
203,Remote,51.0,75.0,79.0,Sales,A,2022,True,4,3–5 yrs,Heavy,True,False
204,In-Office,49.0,72.0,83.0,Sales,A,2019,True,7,6–10 yrs,Heavy,False,False
205,Hybrid,38.0,76.0,66.0,Sales,A,2018,False,8,6–10 yrs,Normal,True,False
206,Remote,30.0,71.0,78.0,HR,D,2020,True,6,6–10 yrs,Light,False,False
207,Remote,35.0,70.0,68.0,Operations,A,2018,False,8,6–10 yrs,Light,False,False
208,Hybrid,42.0,62.0,78.0,Finance,B,2020,False,6,6–10 yrs,Normal,False,False
209,Remote,38.0,64.0,76.0,Operations,A,2019,False,7,6–10 yrs,Normal,False,False
210,Remote,33.0,79.0,87.0,IT,D,2023,True,3,3–5 yrs,Light,True,False
211,Hybrid,31.0,75.0,71.0,Finance,B,2023,False,3,3–5 yrs,Light,True,False
212,Hybrid,46.0,76.0,74.0,Operations,A,2018,False,8,6–10 yrs,Heavy,True,False
213,Hybrid,40.0,68.0,81.0,Operations,B,2019,False,7,6–10 yrs,Normal,False,False
214,Remote,38.0,91.0,78.0,IT,B,2022,True,4,3–5 yrs,Normal,True,False
215,In-Office,40.0,58.0,52.0,Sales,D,2018,False,8,6–10 yrs,Normal,False,False
216,Remote,28.0,78.0,82.0,Finance,D,2016,True,10,6–10 yrs,Light,True,False
217,Remote,29.0,83.0,75.0,Finance,B,2016,False,10,6–10 yrs,Light,True,False
218,In-Office,46.0,87.0,76.0,IT,A,2019,False,7,6–10 yrs,Heavy,True,False
219,Hybrid,40.0,67.0,55.0,Sales,D,2019,True,7,6–10 yrs,Normal,False,False
220,In-Office,40.0,70.0,59.0,Finance,B,2020,True,6,6–10 yrs,Normal,False,False
221,Hybrid,41.0,75.0,70.0,Finance,C,2023,False,3,3–5 yrs,Normal,True,False
222,Hybrid,38.0,75.0,76.0,Finance,C,2019,False,7,6–10 yrs,Normal,True,False
223,Remote,31.0,87.0,77.0,Sales,D,2020,False,6,6–10 yrs,Light,True,False
224,Remote,38.0,82.0,80.0,IT,A,2020,True,6,6–10 yrs,Normal,True,False
225,Remote,44.0,78.0,74.0,Finance,C,2017,True,9,6–10 yrs,Normal,True,False
226,Remote,40.0,67.0,79.0,Operations,C,2018,False,8,6–10 yrs,Normal,False,False
227,In-Office,45.0,70.0,67.0,Sales,C,2015,False,11,10+ yrs,Normal,False,False
228,Remote,27.0,72.0,79.0,HR,A,2018,True,8,6–10 yrs,Light,False,False
229,In-Office,46.0,63.0,74.0,IT,A,2015,True,11,10+ yrs,Heavy,False,False
230,Hybrid,37.0,82.0,75.0,Operations,D,2019,False,7,6–10 yrs,Normal,True,False
231,In-Office,40.0,88.0,57.0,Finance,Nan,2019,True,7,6–10 yrs,Normal,True,False
232,Hybrid,41.0,74.0,67.0,HR,C,2022,False,4,3–5 yrs,Normal,False,False
233,Hybrid,50.0,72.0,74.0,IT,A,2019,True,7,6–10 yrs,Heavy,False,False
234,Hybrid,44.0,73.0,78.0,Sales,Nan,2016,False,10,6–10 yrs,Normal,False,False
235,Remote,43.0,62.0,87.0,HR,C,2020,False,6,6–10 yrs,Normal,False,False
236,In-Office,33.0,81.0,78.0,HR,D,2015,False,11,10+ yrs,Light,True,False
237,Remote,31.0,73.0,70.0,Operations,A,2019,True,7,6–10 yrs,Light,False,False
238,Remote,37.0,74.0,83.0,IT,D,2018,False,8,6–10 yrs,Normal,False,False
239,Hybrid,50.0,85.0,68.0,Operations,D,2019,False,7,6–10 yrs,Heavy,True,False
240,Remote,37.0,63.0,72.0,Operations,A,2020,True,6,6–10 yrs,Normal,False,False
241,In-Office,41.0,87.0,57.0,Finance,C,2015,False,11,10+ yrs,Normal,True,False
242,In-Office,41.0,72.0,71.0,Sales,A,2023,False,3,3–5 yrs,Normal,False,False
243,In-Office,39.0,76.0,64.0,HR,C,2018,False,8,6–10 yrs,Normal,True,False
244,Remote,38.0,80.0,78.0,IT,D,2022,True,4,3–5 yrs,Normal,True,False
245,Remote,35.0,75.0,77.0,Sales,A,2019,True,7,6–10 yrs,Light,True,False
246,In-Office,42.0,70.0,82.0,Sales,B,2022,True,4,3–5 yrs,Normal,False,False
247,Hybrid,45.0,72.0,78.0,IT,C,2019,True,7,6–10 yrs,Normal,False,False
248,In-Office,41.0,83.0,71.0,Sales,B,2022,False,4,3–5 yrs,Normal,True,False
249,In-Office,44.0,76.0,54.0,Finance,Nan,2018,True,8,6–10 yrs,Normal,True,False
250,In-Office,37.0,61.0,69.0,Sales,A,2016,True,10,6–10 yrs,Normal,False,False
251,Remote,48.0,94.0,82.0,Finance,B,2020,True,6,6–10 yrs,Heavy,True,False
252,Remote,41.0,62.0,74.0,HR,A,2016,False,10,6–10 yrs,Normal,False,False
253,In-Office,39.0,66.0,66.0,HR,C,2019,False,7,6–10 yrs,Normal,False,False
254,Remote,35.0,60.0,83.0,Operations,Nan,2019,False,7,6–10 yrs,Light,False,False
255,Remote,32.0,78.0,93.0,Finance,Nan,2017,True,9,6–10 yrs,Light,True,False
256,Hybrid,36.0,54.0,70.0,HR,C,2020,False,6,6–10 yrs,Normal,False,False
257,In-Office,53.0,90.0,57.0,Sales,D,2015,False,11,10+ yrs,Heavy,True,False
258,Hybrid,45.0,70.0,71.0,IT,C,2020,True,6,6–10 yrs,Normal,False,False
259,Hybrid,58.0,62.0,74.0,IT,B,2017,False,9,6–10 yrs,Heavy,False,False
260,Remote,41.0,85.0,79.0,Finance,C,2021,True,5,3–5 yrs,Normal,True,False
261,Hybrid,44.0,71.0,74.0,Operations,Nan,2016,True,10,6–10 yrs,Normal,False,False
262,In-Office,43.0,78.0,65.0,Sales,D,2020,False,6,6–10 yrs,Normal,True,False
263,Remote,40.0,76.0,86.0,Finance,B,2022,True,4,3–5 yrs,Normal,True,False
264,Hybrid,42.0,60.0,82.0,IT,D,2015,True,11,10+ yrs,Normal,False,False
265,In-Office,39.0,66.0,63.0,Finance,D,2023,True,3,3–5 yrs,Normal,False,False
266,In-Office,55.0,53.0,96.0,Sales,Nan,2019,True,7,6–10 yrs,Heavy,False,False
267,Hybrid,48.0,76.0,72.0,HR,A,2019,True,7,6–10 yrs,Heavy,True,False
268,In-Office,47.0,77.0,74.0,Sales,D,2019,True,7,6–10 yrs,Heavy,True,False
269,Remote,41.0,74.0,77.0,HR,D,2020,False,6,6–10 yrs,Normal,False,False
270,Remote,37.0,74.0,86.0,HR,C,2019,True,7,6–10 yrs,Normal,False,False
271,In-Office,49.0,46.0,74.0,HR,A,2020,True,6,6–10 yrs,Heavy,False,False
272,In-Office,46.0,72.0,74.0,Finance,B,2018,True,8,6–10 yrs,Heavy,False,False
273,In-Office,53.0,81.0,61.0,IT,B,2022,True,4,3–5 yrs,Heavy,True,False
274,In-Office,48.0,63.0,74.0,Finance,Nan,2023,False,3,3–5 yrs,Heavy,False,False
275,Hybrid,38.0,81.0,80.0,IT,A,2023,False,3,3–5 yrs,Normal,True,False
276,Hybrid,45.0,80.0,76.0,Sales,B,2022,True,4,3–5 yrs,Normal,True,False
277,In-Office,41.0,76.0,75.0,Operations,Nan,2017,False,9,6–10 yrs,Normal,True,False
278,Hybrid,41.0,84.0,74.0,Sales,C,2018,True,8,6–10 yrs,Normal,True,False
279,In-Office,47.0,82.0,68.0,Finance,C,2015,True,11,10+ yrs,Heavy,True,False
280,In-Office,39.0,71.0,61.0,Finance,A,2023,True,3,3–5 yrs,Normal,False,False
281,In-Office,40.0,71.0,61.0,IT,Nan,2019,True,7,6–10 yrs,Normal,False,False
282,Remote,36.0,61.0,79.0,Finance,A,2020,False,6,6–10 yrs,Normal,False,False
283,Remote,38.0,69.0,83.0,HR,A,2017,False,9,6–10 yrs,Normal,False,False
284,Remote,44.0,63.0,73.0,Finance,Nan,2019,True,7,6–10 yrs,Normal,False,False
285,Hybrid,37.0,66.0,79.0,IT,A,2021,True,5,3–5 yrs,Normal,False,False
286,Remote,37.0,74.0,64.0,IT,D,2015,False,11,10+ yrs,Normal,False,False
287,Hybrid,46.0,64.0,72.0,HR,Nan,2019,False,7,6–10 yrs,Heavy,False,False
288,Hybrid,44.0,85.0,62.0,IT,D,2023,True,3,3–5 yrs,Normal,True,False
289,Remote,20.0,77.0,91.0,Operations,A,2020,False,6,6–10 yrs,Light,True,False
290,Hybrid,41.0,76.0,68.0,Sales,Nan,2022,True,4,3–5 yrs,Normal,True,False
